query,control_kps_core,retained_kps_core,retained_preagg_kps_core,retained_vs_control_pct,preagg_vs_retained_pct,all_vs_control_pct,control_raw_kps,retained_raw_kps,retained_preagg_raw_kps,control_cores,retained_cores,retained_preagg_cores
q4,17.18,14.02,19.65,-18.393480791618167,40.15691868758915,14.377182770663556,80.71,113.3,138.36,4.7,8.08,7.04
q5,45.01,44.18,44.7,-1.8440346589646661,1.1770031688546956,-0.6887358364807694,1050.0,1030.0,1050.0,23.33,23.37,23.43
q8,94.98,96.37,95.53,1.4634659928405958,-0.8716405520390214,0.579069277742672,2560.0,2620.0,2550.0,26.91,27.2,26.74
q9,13.87,13.47,13.47,-2.883922134102368,0.0,-2.883922134102368,375.79,364.69,365.52,27.09,27.08,27.13
q11,29.32,29.24,28.84,-0.27285129604366354,-1.3679890560875485,-1.6371077762619368,801.15,794.15,790.1,27.32,27.16,27.4
q18,53.73,54.38,53.42,1.2097524660338754,-1.7653549098933463,-0.5769588684161442,1450.0,1460.0,1440.0,26.91,26.84,26.91
q19,30.66,30.16,30.57,-1.6307893020221842,1.3594164456233404,-0.29354207436399493,826.45,811.9,822.69,26.95,26.92,26.91
q20,20.62,20.54,20.5,-0.3879728419010742,-0.19474196689386325,-0.5819592628516057,562.17,559.48,557.26,27.26,27.24,27.18
q3,112.25,112.66,111.65,0.3652561247216024,-0.8965027516421031,-0.5345211581291753,3060.0,3070.0,3040.0,27.3,27.27,27.26
q7,24.21,21.59,21.79,-10.821974390747624,0.9263547938860528,-9.99586947542338,661.38,595.75,597.46,27.32,27.59,27.42
q12,77.78,78.29,77.25,0.6556955515556684,-1.3283944309618212,-0.6814091025970748,2130.0,2150.0,2120.0,27.38,27.44,27.49
q13,101.53,101.96,103.3,0.42352014183000275,1.3142408787759852,1.7433270954397617,2820.0,2770.0,2870.0,27.8,27.18,27.8
q15,35.95,34.74,34.42,-3.36578581363004,-0.921128382268277,-4.255910987482614,853.42,841.25,816.77,23.74,24.22,23.73
q16,7.08,6.67,7.14,-5.7909604519774005,7.04647676161918,0.8474576271186418,94.05,72.29,98.42,13.28,10.84,13.78
q17,87.8,89.58,89.29,2.0273348519362244,-0.3237329761107355,1.6970387243735896,2320.0,2370.0,2310.0,26.43,26.42,25.84
