query,control_kps_core,retained_kps_core,retained_preagg_kps_core,retained_vs_control_pct,preagg_vs_retained_pct,all_vs_control_pct,control_raw_kps,retained_raw_kps,retained_preagg_raw_kps,control_cores,retained_cores,retained_preagg_cores
q4,13.34,11.59,15.5,-13.118440779610197,33.735979292493525,16.191904047976013,133.47,56.93,417.54,10.01,4.91,26.93
q5,27.4,27.29,27.07,-0.4014598540145964,-0.8061561011359464,-1.2043795620437892,627.25,613.97,614.55,22.89,22.5,22.7
q8,58.71,59.03,59.38,0.5450519502640194,0.5929188548195796,1.1412025208652699,1530.0,1530.0,1580.0,26.05,25.95,26.66
q9,9.42,9.64,9.44,2.3354564755838636,-2.0746887966805128,0.2123142250530785,255.46,261.19,256.39,27.12,27.09,27.15
q11,13.42,13.43,13.45,0.07451564828613311,0.14892032762472418,0.22354694485842153,358.01,362.99,364.58,26.68,27.02,27.1
q18,39.56,39.12,31.98,-1.1122345803842415,-18.251533742331283,-19.16076845298281,1080.0,1070.0,864.07,27.18,27.28,27.02
q19,25.08,24.58,24.68,-1.9936204146730474,0.40683482506103097,-1.5948963317384268,678.94,663.01,668.09,27.07,26.98,27.07
q20,16.53,15.97,16.12,-3.3877797943133725,0.9392611145898622,-2.4803387779794295,452.35,437.68,441.56,27.36,27.41,27.4
q3,92.17,86.22,87.31,-6.455462731908435,1.2642078404082602,-5.272865357491597,2320.0,2270.0,2220.0,25.13,26.31,25.39
q7,18.96,16.95,17.09,-10.601265822784821,0.8259587020648995,-9.862869198312241,515.05,461.12,458.76,27.16,27.21,26.85
q12,51.88,51.2,51.32,-1.3107170393215073,0.23437499999998668,-1.0794140323824308,1390.0,1390.0,1390.0,26.79,27.22,27.0
q13,82.53,78.78,81.13,-4.543802253725914,2.9829906067529777,-1.6963528413910134,2200.0,2050.0,2120.0,26.61,25.99,26.09
q15,21.14,21.16,14.19,0.09460737937558861,-32.93950850661626,-32.876064333017986,527.6,528.33,295.82,24.95,24.97,20.85
q16,3.77,4.12,2.56,9.283819628647215,-37.86407766990292,-32.09549071618037,34.59,48.7,39.04,9.17,11.82,15.23
q17,60.79,60.41,47.44,-0.6251028129626635,-21.469955305413013,-21.960848823819713,1600.0,1570.0,1260.0,26.37,26.04,26.6
